date,z_sf_L1,z_sf_L2,z_sf_L3,z_fs_L1,z_fs_L2,z_fs_L3,z_sf,z_fs,p_high_fs,p_high_sf
2020-09-17,16.928016123260036,16.16634221736828,15.49241834939247,16.581143299237677,16.019391723719604,15.418888709333965,16.195592230006927,16.006474577430414,8.128058272226973e-07,1.1089008948708974e-06
2020-09-24,17.437604640122355,17.039806411092716,16.655477345328425,17.203960292531605,16.923953050265045,16.60405969933533,17.044296132181163,16.91065768071066,2.098934858727319e-06,2.5898500791259032e-06
2020-10-01,18.44236190139572,18.269718349076733,17.99991092373281,18.46037084935978,18.258112861167408,17.982594747435293,18.237330391401755,18.233692819320826,1.5231124504736015e-05,1.612854611881718e-05
2020-10-08,19.381251228102396,19.75939506141539,19.696430268189843,19.410978278632232,19.758224465750594,19.684333455731483,19.612358852569212,19.617845400038103,0.0006873017034317894,0.0007525133210729423
2020-10-15,21.197578284739798,21.94649313503428,21.819797938217,21.22869243146108,21.938483851524396,21.801992008971414,21.654623119330363,21.656389430652297,0.013936105849774167,0.015704486954024932
2020-10-22,25.220714910923892,24.112736767206858,21.505552677862273,25.214395395466617,24.09599704218833,21.498003653117483,23.613001451997675,23.602798696924143,0.03266228779419504,0.0369521976122212
2020-10-29,26.624310370096474,21.559473044204395,17.820127766771417,26.61201804846772,21.556058417668094,17.821472167169713,22.001303727024094,21.996516211101845,0.01808591411657811,0.020557275385004337
2020-11-05,26.40495047648179,18.725007011533076,14.028009758031658,26.401925253557003,18.726799432271175,14.028874499277233,19.71932241534884,19.71919972836847,0.0009829854414345057,0.00109334987821424
2020-11-12,24.87564793744688,15.620862661459821,11.220345077974594,24.882078442361834,15.620862661459821,11.220345077974594,17.238951892293766,17.24109539393208,5.98122228670473e-06,6.658821561184648e-06
2020-11-19,24.870621655626643,14.750670171464225,10.464318704055744,24.870621655626643,14.750670171464225,10.464318704055744,16.695203510382203,16.695203510382203,1.6581937800898828e-06,1.8091186626630507e-06
2020-11-30,25.64372944787135,14.766035608015779,10.131806482936435,25.64372944787135,14.766035608015779,10.131806482936435,16.847190512941186,16.847190512941186,1.93563173892547e-06,2.0921415227261994e-06
2020-12-07,23.81826289448641,14.69221940939185,10.54996185671676,23.81826289448641,14.69221940939185,10.54996185671676,16.35348138686501,16.35348138686501,1.1578888906700038e-06,1.289808532125349e-06
2020-12-14,23.619758190282045,15.143195238962146,11.612570177524358,23.619758190282045,15.143195238962146,11.612570177524358,16.791841202256183,16.791841202256183,1.8274871171470579e-06,1.9815325834347275e-06
2020-12-21,22.685323196481093,15.744081421320555,12.89015183725377,22.685323196481093,15.744081421320555,12.89015183725377,17.106518818351805,17.106518818351805,2.5593171417594396e-06,2.7276857772306087e-06
2020-12-29,22.76144374441728,16.28526595018296,13.404940836165514,22.75885011721179,16.2842728159708,13.404118623455968,17.48388351025525,17.482413852212854,3.905728744252781e-06,4.093320791700671e-06
2021-01-06,23.85597926496883,17.957692627578414,14.571784934018758,23.849523431503947,17.95611609940412,14.571095224017714,18.795152275522003,18.792244918308594,1.7792726896115723e-05,1.799802734424762e-05
2021-01-13,22.716902904818728,17.43484654987455,14.385324911483702,22.701126480700957,17.430456674840396,14.383602083291596,18.17902478872566,18.171728412944315,4.686743390380196e-05,5.430695617958241e-05
